bucket,delayline,maglattice
0.0727646670099816,0.0390889732515705,1.0
0.0720646871403828,0.0694299225866156,1.0
0.0779670960671287,0.0538509591883976,0.3105760945245614
0.1795695284502585,0.0585508813640065,0.2139169059007767
0.0526555592634392,0.0206577550837754,1.0
0.2588707378451735,0.0669531294740948,0.1783653134079428
0.0518589201712413,0.0556518943461917,0.088341889273891
0.3310169395284112,0.0450629063367702,0.4162643515995909
0.1645215770069113,0.0443370076589006,1.0
0.2350209463142157,0.0632557032424554,0.3236904612012745
0.3705876857959589,0.022367132775949,0.2321967381001155
0.0119998005179852,0.1260700134051466,0.089209561511173
0.0532481593524835,0.0701769941854908,0.5432906412926771
0.2459688404453373,0.0500361855102983,0.0603431818143988
0.0241684802839928,0.0139459387072351,0.5371677892016622
0.1256977148104857,0.042144325898034,0.0738874578411424
0.2307932785443888,0.100164253105016,0.0969404867610018
0.0895734038428136,0.04428178909869,1.0
0.1933335926587438,0.060733758030863,1.0
0.1354063716625735,0.0170368919058894,0.3024527570374604
0.0052596176901423,0.0883042512104741,0.1920973332416366
0.9147394956426452,0.0527891627711964,0.2431392350055264
0.0943180590894108,0.0310247723599084,1.0
0.1530968676324296,0.0417259096781683,0.1415401170682287
0.579170420739375,0.0653528197486557,0.6138651944026087
0.0836767843694054,0.0224134699338627,0.0724632569694707
0.0585408636561338,0.0262196047191082,0.0831990045977242
0.0677146277342379,0.0401622212377491,0.1469481605672635
0.1621277382771332,0.0590647220811493,1.0
0.2173673389590574,0.0888506732051999,0.2415559657513026
0.4747020362956936,0.0228209653646493,0.7140355912930478
0.2272032288436284,0.0353268391122339,1.0
0.2748384490063784,0.0545514995291016,0.199944963141333
0.0557948789416468,0.0394576572131507,0.8373223762632629
0.0671505610333483,0.0440018833369246,1.0
0.011171165917945,0.0388027134943754,1.0
0.1591640952945328,0.0537078005594153,0.1243810686302822
0.138554956285838,0.0539869424968187,0.1985719532606476
0.1017601833191048,0.0478322825465025,1.0
0.1333234687889014,0.0490056213271455,1.0
0.1386412955389923,0.03633206314155,0.0193896519075023
0.0587192677717456,0.0340058770416257,0.6591474061499406
0.1128650436972096,0.0190431340317569,0.0976776949515526
0.0454914918774445,0.0302583068610849,0.1146590287238156
0.1338764283716466,0.0200771989670205,0.4591084445191451
0.0420907036344305,0.020250237600022,0.3408752213769291
0.0380007199974481,0.0455787707551999,0.4023189609746575
0.0390604546132412,0.0275563583281563,1.0
0.1940570109477227,0.0305904671454366,0.1773031249356811
0.0691918203815639,0.0381163101087074,1.0
